name,exp_score,human_rating
2009_003904,0.576,0.722
2010_000500,0.624,0.76
2010_000799,0.688,0.767
2010_003299,0.371,0.389
2010_004712,0.536,0.744
2010_005344,0.478,0.644
2010_005697,0.612,0.778
2011_001900,0.709,0.744
2007_001239,0.362,0.467
2007_001763,0.471,0.522
2007_008260,0.51,0.578
2007_008415,0.125,0.333
2007_009331,0.375,0.522
2007_009562,0.247,0.507
